codigo,nome,tipo,data,partido,num_votos,perc_votos,mandatos
10000,Aveiro,AR,1975-04-25,PPD,141872,42.86,7
10000,Aveiro,AR,1975-04-25,PS,105098,31.75,5
10000,Aveiro,AR,1975-04-25,CDS,36602,11.06,2
10000,Aveiro,AR,1975-04-25,MDP,12849,3.88,0
10000,Aveiro,AR,1975-04-25,PCP,10479,3.17,0
10000,Aveiro,AR,1975-04-25,MES,3269,0.99,0
10000,Aveiro,AR,1975-04-25,FEC,2003,0.61,0
10000,Aveiro,AR,1975-04-25,PUP,1694,0.51,0
20000,Beja,AR,1975-04-25,PCP,50341,38.97,3
20000,Beja,AR,1975-04-25,PS,45930,35.55,3
20000,Beja,AR,1975-04-25,MDP,7036,5.45,0
20000,Beja,AR,1975-04-25,PPD,6787,5.25,0
20000,Beja,AR,1975-04-25,MES,3267,2.53,0
20000,Beja,AR,1975-04-25,CDS,2821,2.18,0
20000,Beja,AR,1975-04-25,UDP,1845,1.43,0
20000,Beja,AR,1975-04-25,PUP,1590,1.23,0
30000,Braga,AR,1975-04-25,PPD,127173,37.7,7
30000,Braga,AR,1975-04-25,PS,92481,27.42,5
30000,Braga,AR,1975-04-25,CDS,60754,18.01,3
30000,Braga,AR,1975-04-25,PCP,12508,3.71,0
30000,Braga,AR,1975-04-25,MDP,9829,2.91,0
30000,Braga,AR,1975-04-25,PUP,2889,0.86,0
30000,Braga,AR,1975-04-25,MES,2779,0.82,0
30000,Braga,AR,1975-04-25,FSP,2654,0.79,0
30000,Braga,AR,1975-04-25,FEC,2557,0.76,0
30000,Braga,AR,1975-04-25,PPM,2530,0.75,0
40000,Bragança,AR,1975-04-25,PPD,43220,43,3
40000,Bragança,AR,1975-04-25,PS,24789,24.66,1
40000,Bragança,AR,1975-04-25,CDS,13533,13.46,0
40000,Bragança,AR,1975-04-25,MDP,3667,3.65,0
40000,Bragança,AR,1975-04-25,PCP,2731,2.72,0
40000,Bragança,AR,1975-04-25,FSP,1612,1.6,0
40000,Bragança,AR,1975-04-25,PPM,1009,1,0
50000,Castelo Branco,AR,1975-04-25,PS,63591,41.51,5
50000,Castelo Branco,AR,1975-04-25,PPD,37206,24.28,2
50000,Castelo Branco,AR,1975-04-25,CDS,9743,6.36,0
50000,Castelo Branco,AR,1975-04-25,PCP,8628,5.63,0
50000,Castelo Branco,AR,1975-04-25,MDP,6020,3.93,0
50000,Castelo Branco,AR,1975-04-25,FSP,3541,2.31,0
50000,Castelo Branco,AR,1975-04-25,MES,3350,2.19,0
50000,Castelo Branco,AR,1975-04-25,FEC,1600,1.04,0
50000,Castelo Branco,AR,1975-04-25,UDP,1154,0.75,0
50000,Castelo Branco,AR,1975-04-25,PPM,1148,0.75,0
60000,Coimbra,AR,1975-04-25,PS,114109,43.2,7
60000,Coimbra,AR,1975-04-25,PPD,71942,27.24,4
60000,Coimbra,AR,1975-04-25,PCP,15150,5.74,1
60000,Coimbra,AR,1975-04-25,CDS,12187,4.61,0
60000,Coimbra,AR,1975-04-25,MDP,11718,4.44,0
60000,Coimbra,AR,1975-04-25,MES,4419,1.67,0
60000,Coimbra,AR,1975-04-25,FSP,3690,1.4,0
60000,Coimbra,AR,1975-04-25,PPM,2514,0.95,0
60000,Coimbra,AR,1975-04-25,FEC,2041,0.77,0
200000,Corvo,AR,1975-04-25,PPD,15493,67.55,1
200000,Corvo,AR,1975-04-25,PS,5276,23,0
200000,Corvo,AR,1975-04-25,MDP,716,3.12,0
200000,Corvo,AR,1975-04-25,PCP,542,2.36,0
750030,Emigração,AR,1975-04-25,PPD,8385,45.61,1
750030,Emigração,AR,1975-04-25,PS,6327,34.41,0
750030,Emigração,AR,1975-04-25,MDP,2025,11.01,0
750030,Emigração,AR,1975-04-25,CDS,846,4.6,0
750030,Emigração,AR,1975-04-25,FEC,485,2.64,0
750030,Emigração,AR,1975-04-25,PPM,44,0.24,0
70000,Évora,AR,1975-04-25,PS,48163,37.89,3
70000,Évora,AR,1975-04-25,PCP,47123,37.07,2
70000,Évora,AR,1975-04-25,MDP,9970,7.84,0
70000,Évora,AR,1975-04-25,PPD,8718,6.86,0
70000,Évora,AR,1975-04-25,CDS,3586,2.82,0
70000,Évora,AR,1975-04-25,FSP,1628,1.28,0
70000,Évora,AR,1975-04-25,UDP,1093,0.86,0
70000,Évora,AR,1975-04-25,PUP,768,0.6,0
80000,Faro,AR,1975-04-25,PS,93263,45.42,6
80000,Faro,AR,1975-04-25,PPD,28595,13.93,1
80000,Faro,AR,1975-04-25,PCP,25282,12.31,1
80000,Faro,AR,1975-04-25,MDP,19496,9.49,1
80000,Faro,AR,1975-04-25,CDS,6889,3.36,0
80000,Faro,AR,1975-04-25,FSP,3607,1.76,0
80000,Faro,AR,1975-04-25,MES,3275,1.59,0
80000,Faro,AR,1975-04-25,UDP,2303,1.12,0
80000,Faro,AR,1975-04-25,PUP,2194,1.07,0
80000,Faro,AR,1975-04-25,FEC,1577,0.77,0
90000,Guarda,AR,1975-04-25,PPD,42322,33.34,3
90000,Guarda,AR,1975-04-25,PS,35796,28.2,2
90000,Guarda,AR,1975-04-25,CDS,24731,19.48,1
90000,Guarda,AR,1975-04-25,MDP,4550,3.58,0
90000,Guarda,AR,1975-04-25,PCP,3717,2.93,0
90000,Guarda,AR,1975-04-25,FSP,1727,1.36,0
90000,Guarda,AR,1975-04-25,PPM,1637,1.29,0
100000,Leiria,AR,1975-04-25,PPD,85924,35.57,5
100000,Leiria,AR,1975-04-25,PS,80180,33.19,5
100000,Leiria,AR,1975-04-25,CDS,16322,6.76,1
100000,Leiria,AR,1975-04-25,PCP,15525,6.43,0
100000,Leiria,AR,1975-04-25,MDP,8225,3.4,0
100000,Leiria,AR,1975-04-25,FSP,3021,1.25,0
100000,Leiria,AR,1975-04-25,MES,2763,1.14,0
100000,Leiria,AR,1975-04-25,UDP,2588,1.07,0
100000,Leiria,AR,1975-04-25,FEC,1896,0.78,0
100000,Leiria,AR,1975-04-25,LCI,979,0.41,0
110000,Lisboa,AR,1975-04-25,PS,583741,45.98,29
110000,Lisboa,AR,1975-04-25,PCP,240095,18.91,11
110000,Lisboa,AR,1975-04-25,PPD,190004,14.97,9
110000,Lisboa,AR,1975-04-25,CDS,60691,4.78,3
110000,Lisboa,AR,1975-04-25,MDP,52339,4.12,2
110000,Lisboa,AR,1975-04-25,UDP,21294,1.68,1
110000,Lisboa,AR,1975-04-25,FSP,15956,1.26,0
110000,Lisboa,AR,1975-04-25,MES,13732,1.08,0
110000,Lisboa,AR,1975-04-25,PPM,9682,0.76,0
110000,Lisboa,AR,1975-04-25,FEC,5716,0.45,0
110000,Lisboa,AR,1975-04-25,LCI,3896,0.31,0
750010,Macau,AR,1975-04-25,ADIM,1622,56.4,1
750010,Macau,AR,1975-04-25,CDM,1030,35.81,0
220000,Madeira,AR,1975-04-25,PPD,78200,61.9,5
220000,Madeira,AR,1975-04-25,PS,24737,19.58,1
220000,Madeira,AR,1975-04-25,CDS,12669,10.03,0
220000,Madeira,AR,1975-04-25,PCP,2086,1.65,0
220000,Madeira,AR,1975-04-25,MDP,1668,1.32,0
220000,Madeira,AR,1975-04-25,FEC,1468,1.16,0
750020,Moçambique,AR,1975-04-25,PS,2496,41.05,1
120000,Portalegre,AR,1975-04-25,PS,53604,52.42,3
120000,Portalegre,AR,1975-04-25,PCP,17920,17.52,1
120000,Portalegre,AR,1975-04-25,PPD,10075,9.85,0
120000,Portalegre,AR,1975-04-25,MDP,4637,4.53,0
120000,Portalegre,AR,1975-04-25,CDS,4040,3.95,0
120000,Portalegre,AR,1975-04-25,FSP,1408,1.38,0
120000,Portalegre,AR,1975-04-25,MES,1320,1.29,0
120000,Portalegre,AR,1975-04-25,UDP,1220,1.19,0
120000,Portalegre,AR,1975-04-25,PPM,593,0.58,0
130000,Porto,AR,1975-04-25,PS,356377,42.55,18
130000,Porto,AR,1975-04-25,PPD,246311,29.41,12
130000,Porto,AR,1975-04-25,CDS,74685,8.92,3
130000,Porto,AR,1975-04-25,PCP,55794,6.66,2
130000,Porto,AR,1975-04-25,MDP,21609,2.58,1
130000,Porto,AR,1975-04-25,MES,8331,0.99,0
130000,Porto,AR,1975-04-25,FEC,7118,0.85,0
130000,Porto,AR,1975-04-25,FSP,6017,0.72,0
130000,Porto,AR,1975-04-25,UDP,5279,0.63,0
130000,Porto,AR,1975-04-25,LCI,4731,0.56,0
130000,Porto,AR,1975-04-25,PPM,4710,0.56,0
130000,Porto,AR,1975-04-25,PUP,3059,0.37,0
140000,Santarém,AR,1975-04-25,PS,126630,42.93,8
140000,Santarém,AR,1975-04-25,PPD,55440,18.79,3
140000,Santarém,AR,1975-04-25,PCP,44515,15.09,2
140000,Santarém,AR,1975-04-25,CDS,12748,4.32,0
140000,Santarém,AR,1975-04-25,MDP,12056,4.09,0
140000,Santarém,AR,1975-04-25,FSP,7009,2.38,0
140000,Santarém,AR,1975-04-25,MES,4619,1.57,0
140000,Santarém,AR,1975-04-25,PPM,3425,1.16,0
140000,Santarém,AR,1975-04-25,UDP,3048,1.03,0
190000,São Jorge,AR,1975-04-25,PPD,28365,62.76,2
190000,São Jorge,AR,1975-04-25,PS,10383,22.97,0
190000,São Jorge,AR,1975-04-25,CDS,2754,6.09,0
190000,São Jorge,AR,1975-04-25,PCP,1069,2.37,0
190000,São Jorge,AR,1975-04-25,MES,541,1.2,0
190000,São Jorge,AR,1975-04-25,MDP,492,1.09,0
210000,São Miguel,AR,1975-04-25,PPD,41930,54.81,2
210000,São Miguel,AR,1975-04-25,PS,23247,30.39,1
210000,São Miguel,AR,1975-04-25,CDS,2364,3.09,0
210000,São Miguel,AR,1975-04-25,MDP,2073,2.71,0
210000,São Miguel,AR,1975-04-25,PCP,1134,1.48,0
210000,São Miguel,AR,1975-04-25,MES,560,0.73,0
150000,Setúbal,AR,1975-04-25,PS,143917,38.15,7
150000,Setúbal,AR,1975-04-25,PCP,142559,37.79,7
150000,Setúbal,AR,1975-04-25,MDP,22733,6.03,1
150000,Setúbal,AR,1975-04-25,PPD,21633,5.73,1
150000,Setúbal,AR,1975-04-25,FSP,6642,1.76,0
150000,Setúbal,AR,1975-04-25,CDS,5853,1.55,0
150000,Setúbal,AR,1975-04-25,UDP,5053,1.34,0
150000,Setúbal,AR,1975-04-25,MES,3864,1.02,0
150000,Setúbal,AR,1975-04-25,FEC,2007,0.53,0
150000,Setúbal,AR,1975-04-25,LCI,1229,0.33,0
150000,Setúbal,AR,1975-04-25,PUP,944,0.25,0
160000,Viana do Castelo,AR,1975-04-25,PPD,50426,36.02,3
160000,Viana do Castelo,AR,1975-04-25,PS,34224,24.45,2
160000,Viana do Castelo,AR,1975-04-25,CDS,20313,14.51,1
160000,Viana do Castelo,AR,1975-04-25,MDP,9891,7.06,0
160000,Viana do Castelo,AR,1975-04-25,PCP,5336,3.81,0
160000,Viana do Castelo,AR,1975-04-25,FSP,2363,1.69,0
160000,Viana do Castelo,AR,1975-04-25,MES,2159,1.54,0
160000,Viana do Castelo,AR,1975-04-25,PPM,1566,1.12,0
160000,Viana do Castelo,AR,1975-04-25,FEC,1523,1.09,0
170000,Vila Real,AR,1975-04-25,PPD,64339,45.79,4
170000,Vila Real,AR,1975-04-25,PS,38140,27.14,2
170000,Vila Real,AR,1975-04-25,CDS,10065,7.16,0
170000,Vila Real,AR,1975-04-25,PCP,4011,2.85,0
170000,Vila Real,AR,1975-04-25,MDP,3227,2.3,0
170000,Vila Real,AR,1975-04-25,FEC,3194,2.27,0
170000,Vila Real,AR,1975-04-25,PPM,1523,1.08,0
180000,Viseu,AR,1975-04-25,PPD,102922,43.78,6
180000,Viseu,AR,1975-04-25,PS,50473,21.47,2
180000,Viseu,AR,1975-04-25,CDS,40422,17.19,2
180000,Viseu,AR,1975-04-25,MDP,9492,4.04,0
180000,Viseu,AR,1975-04-25,FSP,5432,2.31,0
180000,Viseu,AR,1975-04-25,PCP,5380,2.29,0
180000,Viseu,AR,1975-04-25,PPM,2145,0.91,0
210001,Açores,AR,1976-04-25,PPD,62966,45.67,4
210001,Açores,AR,1976-04-25,PS,42736,35.44,2
210001,Açores,AR,1976-04-25,CDS,13537,11.81,0
210001,Açores,AR,1976-04-25,PCP,1871,1.46,0
210001,Açores,AR,1976-04-25,MES,985,0.81,0
210001,Açores,AR,1976-04-25,MRPP,818,0.81,0
210001,Açores,AR,1976-04-25,AOC,595,0.91,0
210001,Açores,AR,1976-04-25,PPM,235,0.58,0
10000,Aveiro,AR,1976-04-25,PPD,113595,35.16,6
10000,Aveiro,AR,1976-04-25,PS,99647,30.84,5
10000,Aveiro,AR,1976-04-25,CDS,72638,22.48,4
10000,Aveiro,AR,1976-04-25,PCP,11962,3.7,0
10000,Aveiro,AR,1976-04-25,UDP,2955,0.91,0
10000,Aveiro,AR,1976-04-25,PDC,1591,0.49,0
10000,Aveiro,AR,1976-04-25,MES,1519,0.47,0
10000,Aveiro,AR,1976-04-25,MRPP,1330,0.41,0
10000,Aveiro,AR,1976-04-25,FSP,1224,0.38,0
10000,Aveiro,AR,1976-04-25,PPM,1187,0.37,0
10000,Aveiro,AR,1976-04-25,AOC,935,0.29,0
10000,Aveiro,AR,1976-04-25,LCI,804,0.25,0
20000,Beja,AR,1976-04-25,PCP,52839,43.99,4
20000,Beja,AR,1976-04-25,PS,38405,31.97,2
20000,Beja,AR,1976-04-25,PPD,9882,8.23,0
20000,Beja,AR,1976-04-25,CDS,5004,4.17,0
20000,Beja,AR,1976-04-25,UDP,2671,2.22,0
20000,Beja,AR,1976-04-25,MES,2092,1.74,0
20000,Beja,AR,1976-04-25,FSP,1564,1.3,0
20000,Beja,AR,1976-04-25,PPM,724,0.6,0
20000,Beja,AR,1976-04-25,AOC,557,0.46,0
20000,Beja,AR,1976-04-25,LCI,481,0.4,0
20000,Beja,AR,1976-04-25,MRPP,428,0.36,0
30000,Braga,AR,1976-04-25,PS,110586,32.28,6
30000,Braga,AR,1976-04-25,PPD,97886,28.58,5
30000,Braga,AR,1976-04-25,CDS,86148,25.15,4
30000,Braga,AR,1976-04-25,PCP,14202,4.15,0
30000,Braga,AR,1976-04-25,UDP,3527,1.03,0
30000,Braga,AR,1976-04-25,FSP,2945,0.86,0
30000,Braga,AR,1976-04-25,PPM,2658,0.78,0
30000,Braga,AR,1976-04-25,PDC,1722,0.5,0
30000,Braga,AR,1976-04-25,MRPP,1589,0.46,0
30000,Braga,AR,1976-04-25,MES,998,0.29,0
30000,Braga,AR,1976-04-25,PCP (M-L),930,0.27,0
30000,Braga,AR,1976-04-25,LCI,651,0.19,0
30000,Braga,AR,1976-04-25,AOC,569,0.17,0
40000,Bragança,AR,1976-04-25,PPD,31636,33.25,2
40000,Bragança,AR,1976-04-25,CDS,26927,28.3,2
40000,Bragança,AR,1976-04-25,PS,21514,22.61,1
40000,Bragança,AR,1976-04-25,PCP,2530,2.66,0
40000,Bragança,AR,1976-04-25,FSP,1003,1.05,0
40000,Bragança,AR,1976-04-25,PDC,812,0.85,0
40000,Bragança,AR,1976-04-25,UDP,768,0.81,0
40000,Bragança,AR,1976-04-25,PPM,739,0.78,0
40000,Bragança,AR,1976-04-25,AOC,626,0.66,0
40000,Bragança,AR,1976-04-25,MRPP,581,0.61,0
40000,Bragança,AR,1976-04-25,PCP (M-L),511,0.54,0
40000,Bragança,AR,1976-04-25,MES,411,0.43,0
40000,Bragança,AR,1976-04-25,LCI,341,0.36,0
50000,Castelo Branco,AR,1976-04-25,PS,51822,36.43,3
50000,Castelo Branco,AR,1976-04-25,PPD,32212,22.64,2
50000,Castelo Branco,AR,1976-04-25,CDS,28257,19.86,2
50000,Castelo Branco,AR,1976-04-25,PCP,9369,6.59,0
50000,Castelo Branco,AR,1976-04-25,FSP,1708,1.2,0
50000,Castelo Branco,AR,1976-04-25,UDP,1520,1.07,0
50000,Castelo Branco,AR,1976-04-25,MRPP,1325,0.93,0
50000,Castelo Branco,AR,1976-04-25,PDC,1163,0.82,0
50000,Castelo Branco,AR,1976-04-25,PPM,959,0.67,0
50000,Castelo Branco,AR,1976-04-25,MES,844,0.59,0
50000,Castelo Branco,AR,1976-04-25,PCP (M-L),586,0.41,0
50000,Castelo Branco,AR,1976-04-25,AOC,577,0.41,0
50000,Castelo Branco,AR,1976-04-25,LCI,481,0.34,0
60000,Coimbra,AR,1976-04-25,PS,98162,40.89,6
60000,Coimbra,AR,1976-04-25,PPD,64162,26.72,4
60000,Coimbra,AR,1976-04-25,CDS,29967,12.48,1
60000,Coimbra,AR,1976-04-25,PCP,17405,7.25,1
60000,Coimbra,AR,1976-04-25,UDP,2771,1.15,0
60000,Coimbra,AR,1976-04-25,FSP,1718,0.72,0
60000,Coimbra,AR,1976-04-25,PDC,1671,0.7,0
60000,Coimbra,AR,1976-04-25,PRT,1584,0.66,0
60000,Coimbra,AR,1976-04-25,MRPP,1430,0.6,0
60000,Coimbra,AR,1976-04-25,PPM,1356,0.56,0
60000,Coimbra,AR,1976-04-25,LCI,1159,0.48,0
60000,Coimbra,AR,1976-04-25,MES,1090,0.45,0
60000,Coimbra,AR,1976-04-25,AOC,1066,0.44,0
60000,Coimbra,AR,1976-04-25,PCP (M-L),498,0.21,0
750040,Europa,AR,1976-04-25,PS,23824,46.09,1
750040,Europa,AR,1976-04-25,PPD,16644,32.2,1
750040,Europa,AR,1976-04-25,PCP,5212,10.08,0
750040,Europa,AR,1976-04-25,CDS,3555,6.88,0
750040,Europa,AR,1976-04-25,PDC,475,0.92,0
750040,Europa,AR,1976-04-25,UDP,407,0.79,0
750040,Europa,AR,1976-04-25,FSP,183,0.35,0
750040,Europa,AR,1976-04-25,MES,165,0.32,0
750040,Europa,AR,1976-04-25,AOC,83,0.16,0
750040,Europa,AR,1976-04-25,MRPP,69,0.13,0
750040,Europa,AR,1976-04-25,PPM,52,0.1,0
750040,Europa,AR,1976-04-25,LCI,28,0.05,0
70000,Évora,AR,1976-04-25,PCP,52291,43.15,4
70000,Évora,AR,1976-04-25,PS,36679,30.26,2
70000,Évora,AR,1976-04-25,PPD,11107,9.16,0
70000,Évora,AR,1976-04-25,CDS,9645,7.96,0
70000,Évora,AR,1976-04-25,UDP,3151,2.6,0
70000,Évora,AR,1976-04-25,FSP,1491,1.23,0
70000,Évora,AR,1976-04-25,PPM,844,0.7,0
70000,Évora,AR,1976-04-25,MES,790,0.65,0
70000,Évora,AR,1976-04-25,AOC,409,0.34,0
70000,Évora,AR,1976-04-25,MRPP,407,0.34,0
70000,Évora,AR,1976-04-25,LCI,358,0.3,0
80000,Faro,AR,1976-04-25,PS,85313,44.63,6
80000,Faro,AR,1976-04-25,PPD,36906,19.31,2
80000,Faro,AR,1976-04-25,PCP,27667,14.47,1
80000,Faro,AR,1976-04-25,CDS,13010,6.81,0
80000,Faro,AR,1976-04-25,UDP,4928,2.58,0
80000,Faro,AR,1976-04-25,FSP,3839,2.01,0
80000,Faro,AR,1976-04-25,MRPP,1957,1.02,0
80000,Faro,AR,1976-04-25,PDC,1493,0.78,0
80000,Faro,AR,1976-04-25,MES,1387,0.73,0
80000,Faro,AR,1976-04-25,AOC,1021,0.53,0
80000,Faro,AR,1976-04-25,PPM,966,0.51,0
80000,Faro,AR,1976-04-25,PCP (M-L),797,0.42,0
80000,Faro,AR,1976-04-25,LCI,743,0.39,0
750050,Fora da Europa,AR,1976-04-25,PPD,21317,53.23,1
750050,Fora da Europa,AR,1976-04-25,CDS,13483,33.67,1
750050,Fora da Europa,AR,1976-04-25,PS,2517,6.29,0
750050,Fora da Europa,AR,1976-04-25,PDC,1277,3.19,0
750050,Fora da Europa,AR,1976-04-25,PCP,562,1.4,0
750050,Fora da Europa,AR,1976-04-25,UDP,130,0.32,0
750050,Fora da Europa,AR,1976-04-25,PPM,123,0.31,0
750050,Fora da Europa,AR,1976-04-25,MES,36,0.09,0
750050,Fora da Europa,AR,1976-04-25,AOC,21,0.05,0
750050,Fora da Europa,AR,1976-04-25,LCI,3,0.01,0
90000,Guarda,AR,1976-04-25,CDS,39120,32.05,2
90000,Guarda,AR,1976-04-25,PPD,31307,25.65,2
90000,Guarda,AR,1976-04-25,PS,30746,25.19,2
90000,Guarda,AR,1976-04-25,PCP,3583,2.94,0
90000,Guarda,AR,1976-04-25,FSP,1717,1.41,0
90000,Guarda,AR,1976-04-25,PDC,1668,1.37,0
90000,Guarda,AR,1976-04-25,UDP,1368,1.12,0
90000,Guarda,AR,1976-04-25,MES,1200,0.98,0
90000,Guarda,AR,1976-04-25,PPM,1125,0.92,0
90000,Guarda,AR,1976-04-25,MRPP,1009,0.83,0
90000,Guarda,AR,1976-04-25,LCI,452,0.37,0
100000,Leiria,AR,1976-04-25,PPD,69457,31.18,4
100000,Leiria,AR,1976-04-25,PS,69236,31.08,4
100000,Leiria,AR,1976-04-25,CDS,43213,19.4,2
100000,Leiria,AR,1976-04-25,PCP,16226,7.28,1
100000,Leiria,AR,1976-04-25,UDP,2136,0.96,0
100000,Leiria,AR,1976-04-25,FSP,2094,0.94,0
100000,Leiria,AR,1976-04-25,PPM,1633,0.73,0
100000,Leiria,AR,1976-04-25,PDC,1448,0.65,0
100000,Leiria,AR,1976-04-25,MRPP,1169,0.52,0
100000,Leiria,AR,1976-04-25,MES,1009,0.45,0
100000,Leiria,AR,1976-04-25,LCI,814,0.37,0
100000,Leiria,AR,1976-04-25,AOC,514,0.23,0
100000,Leiria,AR,1976-04-25,PCP (M-L),399,0.18,0
110000,Lisboa,AR,1976-04-25,PS,458713,38.3,25
110000,Lisboa,AR,1976-04-25,PCP,260554,21.75,14
110000,Lisboa,AR,1976-04-25,PPD,196031,16.37,10
110000,Lisboa,AR,1976-04-25,CDS,157554,13.15,8
110000,Lisboa,AR,1976-04-25,UDP,31409,2.62,1
110000,Lisboa,AR,1976-04-25,MRPP,14372,1.2,0
110000,Lisboa,AR,1976-04-25,FSP,8192,0.68,0
110000,Lisboa,AR,1976-04-25,MES,7964,0.66,0
110000,Lisboa,AR,1976-04-25,PCP (M-L),5289,0.44,0
110000,Lisboa,AR,1976-04-25,PPM,4902,0.41,0
110000,Lisboa,AR,1976-04-25,PDC,4348,0.36,0
110000,Lisboa,AR,1976-04-25,LCI,2865,0.24,0
110000,Lisboa,AR,1976-04-25,AOC,2832,0.24,0
110000,Lisboa,AR,1976-04-25,PRT,1580,0.13,0
220000,Madeira,AR,1976-04-25,PPD,60925,53.04,4
220000,Madeira,AR,1976-04-25,PS,28645,24.94,1
220000,Madeira,AR,1976-04-25,CDS,15310,13.33,1
220000,Madeira,AR,1976-04-25,PCP,1667,1.45,0
220000,Madeira,AR,1976-04-25,UDP,1492,1.3,0
220000,Madeira,AR,1976-04-25,PDC,1412,1.23,0
220000,Madeira,AR,1976-04-25,MES,1071,0.93,0
220000,Madeira,AR,1976-04-25,MRPP,553,0.48,0
220000,Madeira,AR,1976-04-25,PPM,456,0.4,0
120000,Portalegre,AR,1976-04-25,PS,40238,41.89,3
120000,Portalegre,AR,1976-04-25,PCP,21135,22,1
120000,Portalegre,AR,1976-04-25,CDS,13375,13.92,0
120000,Portalegre,AR,1976-04-25,PPD,9680,10.08,0
120000,Portalegre,AR,1976-04-25,FSP,1004,1.05,0
120000,Portalegre,AR,1976-04-25,UDP,949,0.99,0
120000,Portalegre,AR,1976-04-25,MES,934,0.97,0
120000,Portalegre,AR,1976-04-25,LCI,734,0.76,0
120000,Portalegre,AR,1976-04-25,PDC,630,0.66,0
120000,Portalegre,AR,1976-04-25,AOC,598,0.62,0
120000,Portalegre,AR,1976-04-25,PPM,475,0.49,0
120000,Portalegre,AR,1976-04-25,MRPP,352,0.37,0
120000,Portalegre,AR,1976-04-25,PCP (M-L),309,0.32,0
130000,Porto,AR,1976-04-25,PS,336960,40.74,18
130000,Porto,AR,1976-04-25,PPD,222974,26.96,11
130000,Porto,AR,1976-04-25,CDS,129732,15.68,6
130000,Porto,AR,1976-04-25,PCP,69176,8.36,3
130000,Porto,AR,1976-04-25,UDP,12590,1.52,0
130000,Porto,AR,1976-04-25,FSP,3817,0.46,0
130000,Porto,AR,1976-04-25,PPM,3047,0.37,0
130000,Porto,AR,1976-04-25,PDC,3014,0.36,0
130000,Porto,AR,1976-04-25,LCI,2376,0.29,0
130000,Porto,AR,1976-04-25,MES,2256,0.27,0
130000,Porto,AR,1976-04-25,MRPP,1963,0.24,0
130000,Porto,AR,1976-04-25,PRT,1442,0.17,0
130000,Porto,AR,1976-04-25,AOC,1167,0.14,0
130000,Porto,AR,1976-04-25,PCP (M-L),1154,0.14,0
140000,Santarém,AR,1976-04-25,PS,104422,38.4,6
140000,Santarém,AR,1976-04-25,PPD,53138,19.54,3
140000,Santarém,AR,1976-04-25,PCP,43841,16.12,2
140000,Santarém,AR,1976-04-25,CDS,37699,13.86,2
140000,Santarém,AR,1976-04-25,UDP,4533,1.67,0
140000,Santarém,AR,1976-04-25,FSP,3040,1.12,0
140000,Santarém,AR,1976-04-25,MRPP,1906,0.7,0
140000,Santarém,AR,1976-04-25,PPM,1699,0.62,0
140000,Santarém,AR,1976-04-25,PDC,1690,0.62,0
140000,Santarém,AR,1976-04-25,MES,1534,0.56,0
140000,Santarém,AR,1976-04-25,LCI,1312,0.48,0
140000,Santarém,AR,1976-04-25,AOC,1189,0.44,0
140000,Santarém,AR,1976-04-25,PCP (M-L),962,0.35,0
150000,Setúbal,AR,1976-04-25,PCP,159087,44.35,9
150000,Setúbal,AR,1976-04-25,PS,115352,32.16,7
150000,Setúbal,AR,1976-04-25,PPD,30142,8.4,1
150000,Setúbal,AR,1976-04-25,CDS,15724,4.38,0
150000,Setúbal,AR,1976-04-25,UDP,10057,2.8,0
150000,Setúbal,AR,1976-04-25,FSP,3467,0.97,0
150000,Setúbal,AR,1976-04-25,MRPP,3194,0.89,0
150000,Setúbal,AR,1976-04-25,PCP (M-L),2987,0.83,0
150000,Setúbal,AR,1976-04-25,MES,2242,0.63,0
150000,Setúbal,AR,1976-04-25,PPM,973,0.27,0
150000,Setúbal,AR,1976-04-25,AOC,911,0.25,0
150000,Setúbal,AR,1976-04-25,PDC,885,0.25,0
150000,Setúbal,AR,1976-04-25,LCI,653,0.18,0
150000,Setúbal,AR,1976-04-25,PRT,565,0.16,0
160000,Viana do Castelo,AR,1976-04-25,PPD,42519,32.77,3
160000,Viana do Castelo,AR,1976-04-25,PS,33094,25.51,2
160000,Viana do Castelo,AR,1976-04-25,CDS,30437,23.46,2
160000,Viana do Castelo,AR,1976-04-25,PCP,8611,6.64,0
160000,Viana do Castelo,AR,1976-04-25,FSP,1314,1.01,0
160000,Viana do Castelo,AR,1976-04-25,PDC,1192,0.92,0
160000,Viana do Castelo,AR,1976-04-25,UDP,1110,0.86,0
160000,Viana do Castelo,AR,1976-04-25,PPM,995,0.77,0
160000,Viana do Castelo,AR,1976-04-25,MES,881,0.68,0
160000,Viana do Castelo,AR,1976-04-25,LCI,583,0.45,0
160000,Viana do Castelo,AR,1976-04-25,MRPP,399,0.31,0
160000,Viana do Castelo,AR,1976-04-25,AOC,380,0.29,0
160000,Viana do Castelo,AR,1976-04-25,PCP (M-L),314,0.24,0
170000,Vila Real,AR,1976-04-25,PPD,50736,38.99,4
170000,Vila Real,AR,1976-04-25,PS,34277,26.34,2
170000,Vila Real,AR,1976-04-25,CDS,23808,18.3,1
170000,Vila Real,AR,1976-04-25,PCP,4086,3.14,0
170000,Vila Real,AR,1976-04-25,UDP,1192,0.92,0
170000,Vila Real,AR,1976-04-25,PPM,1079,0.83,0
170000,Vila Real,AR,1976-04-25,PDC,1041,0.8,0
170000,Vila Real,AR,1976-04-25,AOC,936,0.72,0
170000,Vila Real,AR,1976-04-25,MES,890,0.68,0
170000,Vila Real,AR,1976-04-25,LCI,877,0.67,0
